"sampled_taxon_name","pedlabsampnum1","labsampnum1","correlated_taxon_name","user_pedon_id","user_site_id","latitude_decimal_degrees","longitude_decimal_degrees","hzn_top","hzn_bot","hzn_desgn","tex_psda","sand_tot_psa","silt_tot_psa","clay_tot_psa","co3_cly","silt_f_psa","silt_c_psa","sand_vf_psa","sand_f_psa","sand_m_psa","sand_vc_psa","sand_c_psa","wf_25","wf_520","wf_2075","wf_0175","wpg2","c_tot","n_tot","s_tot","oc","c_n_ra","base_sum","al_kcl","cec_nh4","ecec","al_sat","ca_nh4","mg_nh4","na_nh4","k_nh4","acid_tea","base_sum_calc","cec_sum","ESP_calc","ph_h2o","ph_cacl2","ph_naf","gypl20","caco3","ec_12pre","sar","na_exch","p_olsn","p_nz","NCSS_Layer_labsampnum","hzn_master","db_13b","db_od","COLEws","w15l2","w15cly","cec7_cly","wrd_ws13","LEP","w15bfm","w3cld","w10cld","final_oc","est_OM","Calc_Clay","basesat8_2","basesat7","abgll","abgpi","w3rec","w10l2","w5bl2","mlra_code","ssa_code","county_code","vf52","vf205","vf7520","vf25075","vf250u","vf752","wrd_l2","Major_Elements_labsampnum","Major_Elements_result_source_key","al_mjelm","ca_mjelm","fe_mjelm","k_mjelm","mg_mjelm","mn_mjelm","na_mjelm","p_mjelm","si_mjelm","sr_mjelm","ti_mjelm","zr_mjelm","Trace_Elements_Tier_1_result_source_key","Trace_Elements_Tier_1_prep_code","ag_trelm","as_trelm","ba_trelm","be_trelm","cd_trelm","co_trelm","cr_trelm","cu_trelm","hg_trelm","mn_trelm","mo_trelm","Trace_Elements_Tier_2_result_source_key","Trace_Elements_Tier_2_prep_code","ni_trelm","p_trelm","pb_trelm","sb_trelm","se_trelm","sn_trelm","sr_trelm","tl_trelm","v_trelm","w_trelm","zn_trelm"
"Oxyaquic Argiudolls","13N0547","13N02560","Oxyaquic Hapludolls","S2012MI163014","S2012MI163014",42.32,-83.07,114.00,140.00,"C3","fs",97.30,1.90,0.80,,1.90,0.00,6.50,63.40,26.30,0.20,0.90,0.00,0.00,0.00,91.00,1.00,0.09,0.02,0.00,,2.00,,,0.80,,,1.10,0.20,0.00,0.00,0.00,1.30,,0.00,8.40,7.40,,,0.00,0.05,,,,,"13N02560","C",,,,0.80,1.00,,,,,,,0.09,0.15,1.77,,,,,,3.00,,"99","MI163","MI163",0.00,0.00,0.00,0.00,0.00,1.00,,"13N02560",15919579,32197.00,6089.00,11016.00,14265.00,2354.00,168.00,10205.00,132.00,376673.0,136.00,1489.00,79.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oxyaquic Argiudolls","13N0547","13N02561","Oxyaquic Hapludolls","S2012MI163014","S2012MI163014",42.32,-83.07,140.00,147.00,"C4","cos",88.30,8.40,3.30,0.70,4.80,3.60,2.70,11.00,36.00,11.40,27.20,11.00,11.00,6.00,90.00,28.00,2.53,9.0e-03,0.01,,29.00,,,3.00,,,34.80,0.90,0.00,0.00,,35.70,,0.00,8.60,7.80,,,19.00,0.10,,,,,"13N02561","C",,,,2.40,0.73,,,,,,,0.25,0.43,5.37,,,,,,5.20,,"99","MI163","MI163",7.00,7.00,4.00,0.00,0.00,18.00,,"13N02561",15919580,30631.00,64680.00,14039.00,10805.00,17853.00,317.00,9386.00,248.00,271067.0,139.00,1420.00,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oxyaquic Argiudolls","13N0547","13N02562","Oxyaquic Hapludolls","S2012MI163014","S2012MI163014",42.32,-83.07,147.00,203.00,"2Cd","sic",5.10,54.30,40.60,7.30,47.50,6.80,0.00,2.60,1.70,0.30,0.50,1.00,1.00,0.00,7.00,2.00,3.92,0.06,0.11,,10.00,,,6.20,,,50.20,4.70,1.40,0.50,,56.80,,22.58,7.60,7.50,,,28.00,1.42,,,,,"13N02562","C",,,,15.90,0.39,,,,,,,0.56,0.96,38.34,,,,,,32.80,,"99","MI163","MI163",1.00,1.00,0.00,0.00,0.00,1.00,,"13N02562",15919581,57253.00,73984.00,29403.00,21643.00,25725.00,516.00,5488.00,387.00,204723.0,142.00,3381.00,113.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ziegenfuss","13N0548","13N02563","Ziegenfuss","S2012MI163015","S2012MI163015",42.44,-82.93,0.00,8.00,"^A","cl",23.30,37.80,38.90,,25.80,12.00,6.30,11.80,3.10,1.30,0.80,0.00,0.00,0.00,17.00,0.00,6.67,0.61,0.06,,11.00,,,29.30,,,32.60,7.20,0.00,0.80,7.80,40.59,,0.00,7.10,6.80,,,1.00,0.59,,,,,"13N02563","^A",1.05,1.19,0.04,21.60,0.56,,0.08,4.30,,29.50,,6.55,11.29,37.62,,,,,,,,"99","MI163","MI163",0.00,0.00,0.00,0.00,0.00,0.00,0.08,"13N02563",15919582,60460.00,11261.00,26872.00,22223.00,8353.00,329.00,5990.00,1018.00,256323.0,110.00,3500.00,118.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ziegenfuss","13N0548","13N02564","Ziegenfuss","S2012MI163015","S2012MI163015",42.44,-82.93,8.00,33.00,"^Bwu","sic",17.00,42.00,41.00,0.70,30.50,11.50,4.60,6.90,3.50,0.50,1.50,1.00,1.00,0.00,14.00,2.00,2.12,0.19,0.01,,6.00,,,14.80,,,46.10,7.10,0.00,0.50,,53.69,,0.00,7.90,7.50,,,7.00,0.24,,,,,"13N02564","^B",1.68,1.88,0.03,14.80,0.36,,0.06,3.79,,18.40,,1.28,2.20,33.80,,,,,,,,"99","MI163","MI163",1.00,1.00,0.00,0.00,0.00,1.00,0.06,"13N02564",15919583,66462.00,21887.00,32638.00,26278.00,12641.00,688.00,6145.00,491.00,264457.0,120.00,3903.00,131.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ziegenfuss","13N0548","13N02565","Ziegenfuss","S2012MI163015","S2012MI163015",42.44,-82.93,33.00,46.00,"Ab","sic",7.20,50.50,42.30,,35.20,15.30,3.40,2.30,1.10,0.00,0.40,0.00,0.00,0.00,4.00,0.00,2.27,0.27,0.01,,8.00,,,22.50,,,25.60,4.60,0.00,0.50,5.70,30.70,,0.00,7.70,7.20,,,1.00,0.28,,,,,"13N02565","A",,,,17.10,0.40,,,,,,,2.15,3.70,37.37,,,,,,,,"99","MI163","MI163",0.00,0.00,0.00,0.00,0.00,0.00,,"13N02565",15919584,68754.00,8448.00,27627.00,25495.00,7974.00,238.00,6448.00,836.00,279665.0,121.00,4455.00,150.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ziegenfuss","13N0548","13N02566","Ziegenfuss","S2012MI163015","S2012MI163015",42.44,-82.93,46.00,76.00,"Bgb1","sic",6.10,46.50,47.40,,30.60,15.90,3.20,1.90,0.90,0.00,0.10,0.00,0.00,0.00,3.00,0.00,0.88,0.15,0.00,,5.00,,,19.50,,,17.90,5.10,0.00,0.50,6.60,23.50,,0.00,7.70,7.20,,,0.00,0.13,,,,,"13N02566","B",1.52,1.75,0.04,18.30,0.39,,0.10,4.80,,24.80,,0.88,1.51,43.54,,,,,,,,"99","MI163","MI163",0.00,0.00,0.00,0.00,0.00,0.00,0.10,"13N02566",15919585,71675.00,6637.00,32658.00,27111.00,8407.00,313.00,6184.00,576.00,277335.0,111.00,4545.00,145.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ziegenfuss","13N0548","13N02567","Ziegenfuss","S2012MI163015","S2012MI163015",42.44,-82.93,76.00,145.00,"Bgb2","sic",5.80,47.20,47.00,,34.00,13.20,2.90,2.00,0.80,0.00,0.10,0.00,0.00,0.00,3.00,0.00,0.49,0.08,0.00,,5.00,,,17.80,,,15.60,5.50,0.00,0.50,7.30,21.60,,0.00,7.80,7.30,,,0.00,0.11,,,,,"13N02567","B",1.52,1.76,0.05,17.50,0.37,,0.09,5.00,,23.50,,0.49,0.84,42.52,,,,,,,,"99","MI163","MI163",0.00,0.00,0.00,0.00,0.00,0.00,0.09,"13N02567",15919586,75081.00,6027.00,35124.00,26763.00,8812.00,469.00,6089.00,512.00,276974.0,112.00,4400.00,139.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ziegenfuss","13N0548","13N02568","Ziegenfuss","S2012MI163015","S2012MI163015",42.44,-82.93,145.00,203.00,"Cd","c",5.30,35.70,59.00,1.60,29.20,6.50,1.90,1.80,0.80,0.30,0.50,2.00,1.00,0.00,6.00,3.00,1.86,0.07,0.00,,8.00,,,13.80,,,52.80,7.00,0.00,0.40,,60.20,,0.00,8.00,7.60,,,10.00,0.19,,,,,"13N02568","C",,,,21.70,0.37,,,,,,,0.66,1.13,52.60,,,,,,,,"99","MI163","MI163",1.00,1.00,0.00,0.00,0.00,2.00,,"13N02568",15919587,77920.00,31259.00,39127.00,32023.00,16494.00,1067.00,4048.00,431.00,219973.0,115.00,3866.00,108.00,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mollic Epiaquepts","13N0549","13N02569","Midtown","S2012MI163016","S2012MI163016",42.34,-83.04,0.00,15.00,"^Au","sl",61.60,25.90,12.50,0.80,10.10,15.80,2.80,10.40,44.10,0.50,3.80,6.00,5.00,2.00,64.00,13.00,3.10,0.16,0.00,,13.00,,,7.50,,,37.60,2.40,0.00,0.30,,40.29,,0.00,7.90,7.40,,,8.00,0.31,,,,,"13N02569","^A",1.47,1.57,0.02,6.70,0.54,,0.12,1.99,,15.20,,2.14,3.68,11.39,,,,,,,,"99","MI163","MI163",4.00,3.00,1.00,0.00,0.00,8.00,0.12,"13N02569",15919588,39012.00,29414.00,16255.00,14187.00,9325.00,414.00,8028.00,307.00,302365.0,144.00,2022.00,79.00,,,,,,,,,,,,,,,,,,,,,,,,,,
