lab_sample_num, drainage_cl
40A0476,
40A0493,somewhat poorly
40A0493,somewhat poorly
40A0501,moderately well
40A0501,moderately well
40A0502,moderately well
40A0502,moderately well
40A0496,well
40A0496,well
40A0477,well
40A0477,well
40A0462,somewhat poorly
40A0462,somewhat poorly
40A0484,moderately well
40A0484,moderately well
40A0604,moderately well
40A0604,moderately well
94P0195,
94P0196,
95P0314,excessively
95P0314,excessively
95P0315,excessively
95P0315,excessively
95P0316,excessively
95P0320,moderately well
40A0322,well
40A0339,well
40A0352,somewhat excessively
40A0352,somewhat excessively
40A0353,somewhat excessively
40A0353,somewhat excessively
40A0308,somewhat excessively
40A0315,excessively
40A0315,excessively
40A0316,excessively
40A0316,excessively
40A0303,well
40A0350,well
40A0345,somewhat poorly
91P0658,well
91P0658,well
91P0659,well
91P0659,well
92P0474,moderately well
92P0475,well
92P0476,well
92P0477,somewhat poorly
92P0478,well
92P0478,well
92P0479,moderately well
92P0480,moderately well
92P0481,well
92P0482,well
94P0197,well
94P0197,well
94P0198,well
94P0198,well
94P0199,
94P0199,
94P0200,well
94P0200,well
94P0201,
94P0202,
40A0333,moderately well
40A0304,well
40A0305,well
40A0317,somewhat poorly
40A0327,well
40A0327,well
40A0328,well
40A0328,well
40A0314,excessively
40A0314,excessively
40A0351,well
40A0351,well
40A0330,well
40A0330,well
92P0368,well
92P0368,well
92P0369,well
40A0332,well
40A0332,well
40A0331,well
40A0331,well
40A0324,well
40A0324,well
40A0325,well
40A0325,well
40A0326,well
40A0326,well
40A0321,well
40A0334,well
40A0335,well
40A0310,well
40A0336,well
40A0311,well
40A0329,well
40A0329,well
40A0349,moderately well
92P0483,well
92P0484,
92P0484,
92P0485,well
93P0250,
93P0250,
93P0251,
93P0252,
93P0253,
91P0656,well
91P0657,well
92P0604,well
92P0605,well
92P0610,well
92P0610,well
92P0610,well
40A0342,well
40A0313,moderately well
40A0323,moderately well
40A0346,moderately well
40A0346,moderately well
40A0343,well
40A0347,moderately well
40A0347,moderately well
40A0344,well
40A0348,moderately well
40A0348,moderately well
40A0340,well
40A0307,well
40A0309,well
40A0320,well
40A0319,well
40A0341,well
40A0312,well
40A0337,well
40A0337,well
40A0338,well
40A0338,well
92P0486,well
92P0486,well
92P0487,well
92P0487,well
92P0488,moderately well
92P0364,well
92P0365,somewhat poorly
92P0365,somewhat poorly
92P0366,well
92P0367,somewhat poorly
92P0367,somewhat poorly
92P0370,well
92P0489,well
92P0489,well
92P0490,well
92P0490,well
92P0491,well
92P0492,well
92P0492,well
92P0493,well
92P0494,well
92P0494,well
92P0495,poorly
92P0496,moderately well
93P0254,
93P0254,
93P0255,
93P0255,
93P0256,
93P0257,
95P0499,well
95P0500,well
95P0500,well
95P0501,well
95P0501,well
95P0503,well
95P0504,well
95P0504,well
95P0506,well
95P0506,well
95P0507,well
95P0508,well
91P0648,well
91P0649,well
91P0650,well
91P0651,well
91P0652,well
91P0652,well
91P0653,well
91P0654,well
91P0655,well
92P0606,well
92P0607,well
92P0608,well
92P0609,well
94P0526,well
94P0527,well
94P0528,well
94P0528,well
94P0529,
94P0529,
94P0530,well
94P0531,
94P0532,
94P0535,
94P0536,
94P0536,
95P0498,well
40A0282,
40A0299,
40A0299,
40A0283,
96P0180,excessively
96P0180,excessively
40A0259,
40A0259,
98P0064,well
98P0064,well
98P0065,well
98P0065,well
98P0066,excessively
98P0066,excessively
98P0067,well
98P0067,well
96P0167,well
96P0167,well
96P0168,well
96P0168,well
96P0169,somewhat excessively
96P0169,somewhat excessively
96P0170,well
96P0170,well
96P0171,well
96P0171,well
96P0172,well
96P0172,well
96P0173,well
96P0173,well
96P0174,moderately well
96P0174,moderately well
96P0175,well
96P0175,well
96P0176,well
96P0176,well
96P0177,somewhat poorly
96P0177,somewhat poorly
96P0178,excessively
