smp id,Dupl,area code,taxonomic order,horz desgn master,lay depth to top,lay depth to bottom,MGMT_lable,Measured Active Carbon,pH,Clay,Sand,Silt,Est Org C,Total Carbon
88231,U,UT,Aridisols,A,0,2,R,433,8.1,3.4,85.6,11.0,0.4696,0.8
88232,U,UT,Aridisols,A,2,7,R,217,8.5,4.7,83.8,11.5,0.3032,0.6
88602,U,PA,,A,0,5,,3042,7.1,19.9,14.4,65.7,3.64,3.6
88611,U,PA,,A,0,5,,3042,7.1,19.9,14.4,65.7,3.64,3.6
88603,U,PA,,A,5,10,,2037,7.2,19.7,14.1,66.2,2.29,2.3
88612,U,PA,,A,5,10,,2037,7.2,19.7,14.1,66.2,2.29,2.3
88605,U,PA,,A,0,5,,3226,7.2,28.7,15.1,56.2,3.75,3.7
88614,U,PA,,A,0,5,,3226,7.2,28.7,15.1,56.2,3.75,3.7
88606,U,PA,,A,5,10,,1382,7.3,29.9,13.7,56.4,1.52,1.5
88615,U,PA,,A,5,10,,1382,7.3,29.9,13.7,56.4,1.52,1.5
88608,U,PA,,A,0,5,,675,7.1,20.1,16.6,63.3,4.05,4.1
88617,U,PA,,A,0,5,,675,7.1,20.1,16.6,63.3,4.05,4.1
88609,U,PA,,A,5,10,,1376,7.2,20.3,17.4,62.3,2.55,2.5
88618,U,PA,,A,5,10,,1376,7.2,20.3,17.4,62.3,2.55,2.5
89122,U,UT,Aridisols,A,0,2,R,469,8.4,3.7,79.6,16.7,0.668,1.1
89123,U,UT,Aridisols,A,2,8,R,253,8.6,3.7,82.1,14.2,0.3464,0.8
89125,U,UT,Aridisols,A,0,2,R,325,8.1,6.8,77.6,15.6,0.4024,0.8
89126,U,UT,Aridisols,A,2,4,R,217,8.4,7.0,78.4,14.6,0.284,0.7
89128,U,UT,Aridisols,A,0,2,R,361,8.1,5.9,78.3,15.8,0.436,0.8
89129,U,UT,Aridisols,A,2,8,R,181,8.4,7.5,78.9,13.6,0.232,0.6
89132,U,UT,Aridisols,A,2,7,R,145,8.5,6.9,80.0,13.1,0.2036,0.6
89134,U,UT,Aridisols,A,0,2,R,253,8.2,6.2,77.2,16.6,0.4032,0.8
