smp_id,Grind,prep_name,smp_wt,wt_class,AC,Conc,Validation,Total.Carbon,Clay,Sand ,pH_H2O,pH_CaCl2
233844,lt2mm,"S Prep, Working Pint Preparation",0.5,0.5,365,0.00019,invalid,1.17,12.9,32.1,6.3,5.8
233844,lt2mm,"S Prep, Working Pint Preparation",0.504,0.5,363,0.00019,invalid,1.17,12.9,32.1,6.3,5.8
233844,lt2mm,"S Prep, Working Pint Preparation",0.996,1,550,0.00017,valid,1.17,12.9,32.1,6.3,5.8
233844,lt2mm,"S Prep, Working Pint Preparation",1.001,1,548,0.00017,valid,1.17,12.9,32.1,6.3,5.8
233844,lt2mm,"S Prep, Working Pint Preparation",1.001,1,548,0.00017,valid,1.17,12.9,32.1,6.3,5.8
233844,lt2mm,"S Prep, Working Pint Preparation",2.499,2.5,439,0.00014,valid,1.17,12.9,32.1,6.3,5.8
233844,lt2mm,"S Prep, Working Pint Preparation",2.499,2.5,439,0.00014,valid,1.17,12.9,32.1,6.3,5.8
233844,lt2mm,"S Prep, Working Pint Preparation",2.502,2.5,365,0.00015,valid,1.17,12.9,32.1,6.3,5.8
233844,lt2mm,"S Prep, Working Pint Preparation",4.999,5,402,0.00009,valid,1.17,12.9,32.1,6.3,5.8
233844,lt2mm,"S Prep, Working Pint Preparation",5,5,402,0.00009,valid,1.17,12.9,32.1,6.3,5.8
233844,lt2mm,"S Prep, Working Pint Preparation",5.003,5,365,0.0001,valid,1.17,12.9,32.1,6.3,5.8
232345,fine_lt80um,"S Prep, Fine Grind Preparation",0.248,0.25,1489,0.00018,invalid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",0.251,0.25,1471,0.00018,invalid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",0.253,0.25,1459,0.00018,invalid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",0.499,0.5,740,0.00018,invalid,1.18,34.4,29.4,6.8,6.6
